nameOrig,count_amount,mean_amount,mean_balance_change
C1042812790,1,491847.47,-491847.47
C1042923577,1,531551.0,-531551.0
C1043016955,1,313697.44,-313697.44
C1043170433,1,1501297.88,-1501297.88
C1043173812,1,88649.1,-88649.1
C1043256763,1,136331.05,-136331.05
C1043293861,1,7365106.76,-7365106.76
C1043527721,1,4676.42,-4676.42
C1044222858,1,168622.3,-168622.3
C1044355469,1,222735.34,-222735.34
C1044513187,1,144731.73,-144731.73
C1044518032,1,20393.12,-20393.12
C1044598698,1,974452.84,-974452.84
C1044665079,1,4009058.39,-4009058.39
C1044668407,1,119454.86,-119454.86
C1044721452,1,8813323.11,-8813323.11
C1044963294,1,100840.93,-100840.93
C1045010197,1,152314.49,-152314.49
C1045305148,1,247877.03,-247877.03
C1045409609,1,10000000.0,-10000000.0
C1045717877,1,141586.27,-141586.27
C1045758970,1,167060.63,-167060.63
C1045907901,1,46130.88,-46130.88
C104610866,1,498183.25,-498183.25
C1046272255,1,1416055.74,-1416055.74
C1046281837,1,10000000.0,-10000000.0
C1046302165,1,357824.01,-357824.01
C1046356419,1,24522.52,-24522.52
C1046364344,1,201511.93,-201511.93
C1046546525,1,59628.24,-59628.24
C1046754068,1,92043.22,-92043.22
C1046755509,1,839077.79,-839077.79
C1046781112,1,895565.06,-895565.06
C1047102725,1,2708906.59,-2708906.59
C1047280731,1,10276.87,-10276.87
C1047335023,1,1186725.39,-1186725.39
C1047530413,1,43071.62,-43071.62
C1047682756,1,63440.63,-63440.63
C1047697317,1,394605.69,-394605.69
C1047897914,1,461255.26,-461255.26
C1047942249,1,27985.73,-27985.73
C1048484553,1,216000.95,-216000.95
C1048601853,1,205170.29,-205170.29
C1049094143,1,10000000.0,-10000000.0
C1049419908,1,746518.21,-746518.21
C1049482889,1,1462355.44,-1462355.44
C1049687775,1,59649.33,-59649.33
C105027468,1,4022098.69,-4022098.69
C1050497545,1,9593838.63,-9593838.63
C1050618331,1,6558087.93,-6558087.93
C10511157,1,2219475.13,-2219475.13
C1051179941,1,293470.64,-293470.64
C1051284660,1,2582313.07,-2582313.07
C1051682068,1,6515.64,-6515.64
C1051865605,1,48734.24,-48734.24
C1051999166,1,449032.97,-449032.97
C1052486086,1,3653274.35,-3653274.35
C1052814036,1,79076.14,-79076.14
C1052841054,1,310712.71,-310712.71
C1053462469,1,29280.46,-29280.46
C1053675722,1,8177.04,-8177.04
C1053760019,1,644781.76,-644781.76
C1054388169,1,19952.89,-19952.89
C1054530162,1,272776.59,-272776.59
C1054903406,1,3606943.31,-3606943.31
C1054999314,1,87698.36,-87698.36
C1055011986,1,987470.17,-987470.17
C1055229266,1,248056.41,-248056.41
C1055328635,1,30467.69,-30467.69
C1055490123,1,1632500.22,-1632500.22
C1055498407,1,526119.49,-526119.49
C1055707930,1,927729.13,-927729.13
C1055929140,1,224230.16,-224230.16
C1056695718,1,290090.57,-290090.57
C1056720143,1,171878.27,-171878.27
C1056784519,1,6870369.62,-6870369.62
C1057075880,1,167060.63,-167060.63
C1057118340,1,1016302.6,-1016302.6
C1057439889,1,10000000.0,-10000000.0
C105750198,1,422261.63,-422261.63
C1057589740,1,428239.03,-428239.03
C1057733607,1,1023189.9,-1023189.9
C1057819107,1,10211.81,-10211.81
C1057925060,1,58050.78,-58050.78
C1057975418,1,171623.1,-171623.1
C1058371730,1,529659.95,-529659.95
C1058391661,1,2498370.12,-2498370.12
C1058583308,1,10000000.0,-10000000.0
C1058610480,1,5477272.72,-5477272.72
C1059048177,1,31045.76,-31045.76
C1059269221,1,205170.29,-205170.29
C1059771191,1,253261.36,-253261.36
C10602288,1,275082.0,-275082.0
C1060391149,1,474052.54,-474052.54
C1060408548,1,173309.11,-173309.11
C106058139,1,1938347.14,-1938347.14
C1060613319,1,1030417.74,-1030417.74
C1061051753,1,930970.44,-930970.44
C1061149717,1,736370.54,-736370.54
C1061422162,1,59841.44,-59841.44
C1061461549,1,106850.22,-106850.22
C1061552474,1,1026684.46,-1026684.46
C106165599,1,765104.94,-765104.94
C1061680194,1,31574.65,-31574.65
C1061805919,1,174923.28,-174923.28
C1061974347,1,1380940.73,-1380940.73
C1062379106,1,1028326.5,-1028326.5
C1062431728,1,2123610.45,-2123610.45
C1062499255,1,152724.32,-152724.32
C1062517629,1,1893451.73,-1893451.73
C1063225525,1,272997.35,-272997.35
C1063299871,1,2079746.13,-2079746.13
C1063377815,1,1743864.1,-1743864.1
C1063463883,1,656118.37,-656118.37
C1064034527,1,144452.14,-144452.14
C1064157081,1,563149.41,-563149.41
C1064690652,1,128893.5,-128893.5
C1064820575,1,202887.77,-202887.77
C1064966733,1,306691.05,-306691.05
C1065370362,1,170.0,-170.0
C1066119351,1,307739.18,-307739.18
C1066149498,1,55539.89,-55539.89
C1066191297,1,105097.16,-105097.16
C1066838925,1,10000000.0,-10000000.0
C1067203186,1,4531343.47,-4531343.47
C1067753985,1,1390048.67,-1390048.67
C1067759526,1,5274773.52,-5274773.52
C1067826676,1,1783144.33,-1783144.33
C1068081772,1,20243.24,-20243.24
C1068111301,1,72878.02,-72878.02
C1068269457,1,24773.86,-24773.86
C106888185,1,82112.74,-82112.74
C1069101318,1,114169.66,-114169.66
C1069177491,1,25616.71,-25616.71
C1069202179,1,362672.57,-362672.57
C1069288733,1,653983.93,-653983.93
C106930724,1,188844.13,-188844.13
C1069559758,1,1248344.84,-1248344.84
C1069707218,1,921894.19,-921894.19
C1069976593,1,1595587.46,-1595587.46
C10702255,1,2277862.67,-2277862.67
C1070321,1,794421.26,-794421.26
C1070365668,1,6295010.28,-6295010.28
C1070533651,1,801763.51,-801763.51
C1070629899,1,492003.04,-492003.04
C1070694303,1,32690.68,-32690.68
C1071076699,1,1593189.25,-1593189.25
C10712954,1,973805.75,-973805.75
C1071582702,1,844348.52,-844348.52
C1071591900,1,350800.27,-350800.27
C1071702423,1,9887819.06,-9887819.06
C1071705308,1,147171.3,-147171.3
C1071813500,1,351332.16,-351332.16
C1072220674,1,655676.97,-655676.97
C1072407495,1,432254.84,-432254.84
C1072584456,1,1301090.39,-1301090.39
C1072591824,1,3965182.83,-3965182.83
C1073081182,1,8020192.15,-8020192.15
C107359610,1,102256.57,-102256.57
C107395739,1,6273660.45,-6273660.45
C1074110688,1,1102791.66,-1102791.66
C107421923,1,126431.61,-126431.61
C1074244611,1,160351.22,-160351.22
C1074348771,1,9039246.82,-9039246.82
C1074619527,1,10000000.0,-10000000.000000002
C1075053079,1,181543.89,-181543.89
C107566089,1,1165171.47,-1165171.47
C1075724931,1,122639.34,-122639.34
C1075946907,1,4505012.56,-4505012.56
C107615831,1,1164448.96,-1164448.96
C1076544980,1,79938.47,-79938.47
C1076609671,1,14017.38,-14017.38
C1076727002,1,1864022.05,-1864022.05
C1076967657,1,89303.18,-89303.18
C1077004516,1,406864.17,-406864.17
C1078417563,1,1306690.61,-1306690.61
C1078529507,1,426323.38,-426323.38
C1078571218,1,279728.8,-279728.8
C1078822434,1,48340.79,-48340.79
C1078921591,1,25472.32,-25472.32
C1078953751,1,1312694.5,-1312694.5
C1079154167,1,343999.8,-343999.8
C1079335762,1,10000000.0,-10000000.0
C1079337250,1,563149.41,-563149.41
C1079384969,1,62134.33,-62134.33
C1079557741,1,126061.45,-126061.45
C1079650146,1,21990.52,-21990.52
C108008113,1,45053.05,-45053.05
C1080269027,1,2216703.82,-2216703.82
C1080371544,1,166891.51,-166891.51
C1080532676,1,34473.07,-34473.07
C1080600836,1,72878.02,-72878.02
C1080613423,1,233699.25,-233699.25
C1080618255,1,2137134.15,-2137134.15
C1081458588,1,134293.12,-134293.12
C1081559148,1,577301.73,-577301.73
C1082254671,1,3275.33,-3275.33
C108249800,1,5863.97,-5863.97
C108276530,1,1764389.11,-1764389.11
C108318597,1,3640271.29,-3640271.29
C1083455984,1,1379501.18,-1379501.18
C1083881826,1,118499.44,-118499.44
C1084254819,1,1476248.65,-1476248.65
C1084642853,1,219110.27,-219110.27
C1084653539,1,95348.33,-95348.33
C108472489,1,535654.59,-535654.59
C108505415,1,101013.32,-101013.32
C1085176958,1,136903.9,-136903.9
C1085303819,1,273746.13,-273746.13
C1085308330,1,5363795.31,-5363795.31
C1085506900,1,114889.61,-114889.61
C1085553126,1,168303.36,-168303.36
C108588868,1,167679.27,-167679.27
C1085892947,1,604933.67,-604933.67
C1086171385,1,10000000.0,-10000000.0
C1086283812,1,703882.14,-703882.14
C108630257,1,10000000.0,-10000000.0
C1086380273,1,176007.37,-176007.37
C1087011428,1,138993.63,-138993.63
C1087133093,1,244068.01,-244068.01
C1087234685,1,134515.36,-134515.36
C1087665354,1,72547.29,-72547.29
C1087737188,1,181224.98,-181224.98
C1087798823,1,125159.2,-125159.2
C1088367372,1,633384.46,-633384.46
C1088641911,1,73064.41,-73064.41
C1088706462,1,2689633.8,-2689633.8
C1088953639,1,1760546.42,-1760546.42
C1088995906,1,762135.72,-762135.72
C1089341002,1,145482.09,-145482.09
C1089670756,1,345802.34,-345802.34
C1089852110,1,138373.64,-138373.64
C1090006952,1,2341474.44,-2341474.44
C1090051893,1,25819.42,-25819.42
C1090188748,1,133057.11,-133057.11
C1090265610,1,564263.94,-564263.94
C109032105,1,51113.0,-51113.0
C1090338431,1,427373.65,-427373.65
C1090892452,1,1516823.73,-1516823.73
C1090956083,1,127342.3,-127342.3
C1091119024,1,329055.47,-329055.47
C1091303521,1,119443.3,-119443.3
C1091619735,1,79594.91,-79594.91
C1091954556,1,2312944.11,-2312944.11
C1092143469,1,2947783.87,-2947783.87
C1092488663,1,1748611.28,-1748611.28
C109260257,1,75734.99,-75734.99
C1092667126,1,39013.3,-39013.3
C1092813707,1,40867.66,-40867.66
C1092829426,1,144945.34,-144945.34
C1092840661,1,6174385.48,-6174385.48
C1093183182,1,3455440.17,-3455440.17
C1093216808,1,461442.52,-461442.52
C1093223281,1,1096187.24,-1096187.24
C1093407378,1,3996798.71,-3996798.71
C1093499326,1,132943.98,-132943.98
C1093594459,1,1773151.32,-1773151.32
C1093983453,1,949979.11,-949979.11
C1094519972,1,882637.83,-882637.83
C1095002086,1,294989.71,-294989.71
C1095268826,1,166323.01,-166323.01
C1095293428,1,168033.36,-168033.36
C1096275107,1,1529614.71,-1529614.71
C1096385925,1,10000000.0,-10000000.0
C10965156,1,0.0,0.0
C1096551373,1,34301.19,-34301.19
C109700228,1,1586479.66,-1586479.66
C10974087,1,19952.89,-19952.89
C1098250442,1,3964129.99,-3964129.99
C10982843,1,49210.21,-49210.21
C1098290230,1,124582.58,-124582.58
C1098333645,1,95105.01,-95105.01
C1098392781,1,753723.54,-753723.54
C109944074,1,1975271.77,-1975271.77
C1099567292,1,1368391.5,-1368391.5
C1099639070,1,554501.15,-554501.15
C1100198651,1,23413.67,-23413.67
C1100390301,1,2085019.56,-2085019.56
C1100582606,1,1343002.08,0.0
C1100723027,1,1593189.25,-1593189.25
C1100776599,1,595854.2,-595854.2
C1100799459,1,3150438.28,-3150438.28
C1101705841,1,19472.0,-19472.0
C1101780451,1,381977.83,-381977.83
C1101793112,1,429257.45,-429257.45
C1101896788,1,436317.49,-436317.49
C1101966116,1,151994.59,-151994.59
C1102225556,1,811459.21,-811459.21
C1102554601,1,10000000.0,-10000000.0
C1102672587,1,7335355.57,-7335355.57
C1102869992,1,165547.54,-165547.54
C1102964425,1,69724.85,-69724.85
C1103031078,1,653151.55,-653151.55
C1103482150,1,71693.42,-71693.42
C1103494239,1,2271674.66,-2271674.66
C110351076,1,107732.98,-107732.98
C1104155037,1,219934.26,-219934.26
C1104187360,1,500905.62,-500905.62
C1104531414,1,150924.76,-150924.76
C1104869047,1,1445166.74,-1445166.74
C1105017179,1,143500.62,-143500.62
C1105637215,1,16619.95,-16619.95
C1105700111,1,9217.19,-9217.19
C1105946611,1,1457343.37,-1457343.37
C1105988166,1,93884.26,-93884.26
C1106640250,1,573266.42,-573266.42
C1106741895,1,70173.64,-70173.64
C1106915307,1,1011249.64,-1011249.64
C1106916781,1,427405.08,-427405.08
C1106941921,1,723782.37,-723782.37
C110707602,1,1136374.62,-1136374.62
C1107109708,1,1506795.1,-1506795.1
C1107458985,1,205129.12,-205129.12
C1107477281,1,219278.81,-219278.81
C1107493587,1,394886.13,-394886.13
C1107781229,1,998086.61,-998086.61
C1107960128,1,305817.12,-305817.12
C1108045976,1,2085019.56,-2085019.56
C1108270870,1,336917.97,-336917.97
C1108495258,1,19527.35,-19527.35
C1108630642,1,3009125.59,-3009125.59
C1109437404,1,2815893.17,-2815893.17
C1109518048,1,225324.05,-225324.05
C1110061558,1,100433.21,-100433.21
C1110566935,1,39379.45,-39379.45
C1110953726,1,10000000.0,-10000000.0
C1111699947,1,10000000.0,-10000000.0
C1111837345,1,483713.23,-483713.23
C111188799,1,1839972.36,-1839972.36
C1111928189,1,80397.86,-80397.86
C1112029444,1,251683.05,-251683.05
C1112202399,1,501425.84,-501425.84
C1112249638,1,204030.2,-204030.2
C1112360108,1,8276235.5,-8276235.5
C1112407295,1,3580542.06,-3580542.06
C1112574505,1,26950.06,-26950.06
C1112585109,1,800024.12,-800024.12
C1112871969,1,114308.2,-114308.2
C1112979339,1,48442.88,-48442.88
C1113162093,1,258355.42,-258355.42
C111341928,1,86170.94,-86170.94
C1113436018,1,601494.61,-601494.61
C1113510889,1,73053.41,-73053.41
C1113533628,1,43814.15,-43814.15
C111386253,1,3929113.14,-3929113.14
C1113922193,1,2374490.77,-2374490.77
C1114344238,1,2666139.51,-2666139.51
C1114344856,1,86002.09,-86002.09
C1114634874,1,430722.59,-430722.59
C111480828,1,1074.81,-1074.81
C1115133775,1,4598089.88,-4598089.88
C1115286085,1,887941.44,-887941.44
C1115361466,1,2070814.27,-2070814.27
C1116093088,1,446032.95,-446032.95
C1116414209,1,781183.07,-781183.07
C1116522843,1,904338.88,-904338.88
C1117030253,1,230652.43,-230652.43
C1117447229,1,1857935.57,-1857935.57
C1117531125,1,188658.45,-188658.45
C1117819828,1,15093.69,-15093.69
C1117911944,1,9065.34,-9065.34
C1118147077,1,327791.14,-327791.14
C1118399210,1,152042.16,-152042.16
C1118430673,1,20128.0,-20128.0
C1119251343,1,2254718.25,-2254718.25
C1119391076,1,2153055.36,-2153055.36
C1119545712,1,891944.51,-891944.51
C1119643786,1,985127.95,-985127.95
C1119661582,1,530354.58,-530354.58
C1119842359,1,1548376.44,-1548376.44
C1120272474,1,67921.66,-67921.66
C1120752458,1,455788.55,-455788.55
C112075481,1,766631.82,-766631.82
C1121219802,1,369186.87,-369186.87
C1121745558,1,207241.52,-207241.52
C1121789613,1,994453.2,-994453.2000000002
C1121795717,1,107834.85,-107834.85
C1122268687,1,296940.32,-296940.32
C1122558088,1,5741.05,-5741.05
C1122738410,1,10000000.0,-10000000.0
C1122751474,1,398157.05,-398157.05
C1122962082,1,161272.92,-161272.92
C1123186349,1,157494.6,-157494.6
C1123250480,1,8931550.69,-8931550.69
C112330244,1,1306690.61,-1306690.61
C1123625591,1,1157971.07,-1157971.07
C1124206695,1,144065.75,-144065.75
C1124257950,1,701697.49,-701697.49
C1124374325,1,4162555.99,-4162555.99
C1124488417,1,201988.55,-201988.55
C1124786108,1,681007.64,-681007.64
C1125239020,1,2254417.02,-2254417.02
C1125292418,1,310726.29,-310726.29
C1125545468,1,1165187.89,-1165187.89
C1126237876,1,482679.6,-482679.6
C1126334701,1,2028897.08,-2028897.08
C112638782,1,780687.45,-780687.45
C1126995065,1,28284.88,-28284.88
C1127265876,1,567729.52,-567729.52
C1127304441,1,876753.11,-876753.11
C1127605507,1,771024.82,-771024.82
C1128269552,1,21708.13,-21708.13
C1128510858,1,3354215.55,-3354215.55
C1128786535,1,81867.07,-81867.07
C1129119075,1,116798.38,-116798.38
C1129139063,1,66188.66,-66188.66
C1129374442,1,59263.88,-59263.88
C1129518026,1,2060748.45,-2060748.45
C1130163945,1,69039.64,-69039.64
C1130194242,1,1468304.35,-1468304.35
C1130239772,1,290198.92,-290198.92
C1130541030,1,113829.89,-113829.89
C1131453044,1,5963850.34,-5963850.34
C1131491121,1,2113271.99,-2113271.99
C1131542233,1,1638865.05,-1638865.05
C1131684691,1,10000000.0,-10000000.0
C1131884196,1,2739248.3,-2739248.3
C1132083905,1,179321.12,-179321.12
C1132246468,1,1013208.77,-1013208.77
C113225350,1,3085336.66,-3085336.66
C1132334899,1,565346.12,-565346.12
C1132693600,1,10276.87,-10276.87
C1133500128,1,162192.78,-162192.78
C1133621753,1,87381.78,-87381.78
C1134044412,1,110457.0,-110457.0
C1134864869,1,10539.37,-10539.37
C113524819,1,831725.76,-831725.76
C113536213,1,216351.05,-216351.05
C1135563168,1,537539.97,-537539.97
C1136009119,1,649968.87,-649968.87
C1136118351,1,412668.39,-412668.39
C1136541649,1,58050.78,-58050.78
C1136602497,1,1649039.58,-1649039.58
C1136739857,1,2221683.68,-2221683.68
C1136893398,1,646676.42,-646676.42
C1136940634,1,703135.43,-703135.43
C1137669976,1,65488.05,-65488.05
C113775713,1,24366.07,-24366.07
C1137855045,1,654250.76,-654250.76
C1138260378,1,861406.83,-861406.83
C1138281794,1,1464614.79,-1464614.79
C1138417563,1,987470.17,-987470.17
C1139006593,1,1028515.56,-1028515.56
C1139136882,1,35759.12,-35759.12
C1139422478,1,68536.24,-68536.24
C1139626226,1,433348.97,-433348.97
C1139926828,1,9749042.95,-9749042.95
C114044821,1,1072345.79,-1072345.79
C1140455895,1,1307156.17,-1307156.17
C1140883229,1,4452001.07,-4452001.07
C1141104763,1,144452.14,-144452.14
C1141317489,1,73110.82,-73110.82
C1141510718,1,58924.16,-58924.16
C1141684760,1,78028.89,-78028.89
C1142182296,1,1798215.73,-1798215.73
C114220496,1,1648547.69,-1648547.69
C11425665,1,3439121.37,-3439121.37
C1142691202,1,1806516.34,-1806516.34
C1143038776,1,197943.1,-197943.1
C1143281085,1,1262207.3,-1262207.3
C1143635966,1,82869.09,-82869.09
C1143706946,1,1249721.72,-1249721.72
C1143980021,1,3723738.06,-3723738.06
C1144158432,1,18887.22,-18887.22
C1144230283,1,7515624.63,-7515624.63
C11443462,1,13172.17,-13172.17
C1144385106,1,509985.31,-509985.31
C1144476681,1,1200702.71,-1200702.71
C1144552495,1,32830.82,-32830.82
C1144789769,1,88748.63,-88748.63
C1144862911,1,362335.05,-362335.05
C1145249863,1,815384.83,-815384.83
C114531117,1,1649039.58,-1649039.58
C1145874885,1,908858.12,-908858.12
C1145944802,1,150406.91,-150406.91
C1146223935,1,455372.54,-455372.54
C1146444663,1,335071.5,-335071.5
C1146878331,1,25529.76,-25529.76
C1147249534,1,158245.65,-158245.65
C114731289,1,615954.92,-615954.92
C1147685648,1,1253358.42,-1253358.42
C1147794387,1,2815.61,-2815.61
C1148037845,1,243459.96,-243459.96
C1148562150,1,657417.64,-657417.64
C1148860488,1,303846.74,-303846.74
C1149059890,1,660746.19,-660746.19
C1149220913,1,3244067.13,-3244067.13
C1149539141,1,917014.64,-917014.64
C1149729385,1,4445514.2,-4445514.2
C114974611,1,540154.62,-540154.62
C1149916025,1,780687.45,-780687.45
C1150010764,1,891944.51,-891944.51
C1150317761,1,904124.58,-904124.58
C1150396076,1,810599.16,-810599.16
C1150996147,1,2784.51,-2784.51
C1151172465,1,4582074.51,-4582074.51
C1151204098,1,158214.43,-158214.43
C1152041857,1,287720.41,-287720.41
C1152264725,1,245991.5,-245991.5
C1152596026,1,3295227.84,-3295227.84
C1152872254,1,921668.95,-921668.95
C1152970909,1,4128853.75,-4128853.75
C1153115525,1,185488.23,-185488.23
C1153451347,1,755813.12,-755813.12
C1153466023,1,1558.46,-1558.46
C1153823414,1,79323.25,-79323.25
C1154322501,1,582571.87,-582571.87
C1154403636,1,20986.02,-20986.02
C1154596153,1,106850.22,-106850.22
C1155447996,1,161804.68,-161804.68
C1155509146,1,7618.49,-7618.49
C1155543640,1,1072345.79,-1072345.79
C1155778843,1,153870.09,-153870.09
C1156611770,1,143660.11,-143660.11
C1156678910,1,147957.23,-147957.23
C1157016440,1,2066848.27,-2066848.27
C115707854,1,7114590.07,-7114590.07
C1157110061,1,29637.03,-29637.03
C1157446475,1,114149.44,-114149.44
C1157904432,1,2175288.9,-2175288.9
C1158527799,1,4152435.91,-4152435.91
C1158825212,1,442460.31,-442460.31
C1159622311,1,1536733.52,-1536733.52
C1159822355,1,2480321.85,-2480321.85
C1160054760,1,1861928.35,-1861928.35
C1160185399,1,390763.24,-390763.24
C1160684690,1,995710.58,-995710.58
C1160844097,1,597411.76,-597411.76
C116163072,1,1128579.71,-1128579.71
C1162461767,1,37831.15,-37831.15
